,ID,Date,Block,Primary Type,Description,Location Description,Arrest,Year,Latitude,Longitude
15461,12012879,03/18/2020 11:52:00 PM,056XX S MARYLAND AVE,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,2020,41.792195498,-87.604958508
36580,11859822,10/13/2019 05:22:00 PM,013XX E 53RD ST,ASSAULT,SIMPLE,SIDEWALK,False,2019,41.799505075,-87.592329293
38945,11859795,10/13/2019 07:04:00 PM,015XX E 55TH ST,THEFT,RETAIL THEFT,DRUG STORE,True,2019,41.795190552,-87.588007653
45000,11863708,10/10/2019 12:00:00 PM,054XX S HYDE PARK BLVD,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,2019,41.797414808,-87.584002797
105971,12012539,03/18/2020 11:00:00 AM,058XX S MARYLAND AVE,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,False,2020,41.788699253,-87.604954085
110142,11860491,10/14/2019 11:00:00 AM,052XX S UNIVERSITY AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,2019,41.80042095,-87.598197793
127848,11860984,10/14/2019 03:45:00 PM,052XX S HARPER AVE,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,2019,41.800911368,-87.589122315
128943,11861855,10/14/2019 02:30:00 PM,054XX S RIDGEWOOD CT,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,2019,41.796542893,-87.592583455
189828,11860863,10/14/2019 07:15:00 PM,011XX E 55TH ST,THEFT,FROM BUILDING,RESTAURANT,False,2019,41.795043446,-87.598827668
209703,11863108,10/14/2019 10:00:00 AM,051XX S KIMBARK AVE,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,STREET,False,2019,41.801816996,-87.595079037
235122,11863347,10/15/2019 02:15:00 PM,009XX E 54TH ST,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,2019,41.797922443,-87.602308153
241237,12133193,08/09/2020 01:00:00 PM,053XX S COTTAGE GROVE AVE,THEFT,$500 AND UNDER,APARTMENT,False,2020,41.797936811,-87.606301777
268830,12013629,03/19/2020 10:00:00 PM,053XX S DORCHESTER AVE,BATTERY,SIMPLE,SIDEWALK,False,2020,41.798977312,-87.591770586
273681,12013946,03/19/2020 06:45:00 PM,012XX E 53RD ST,ROBBERY,STRONG ARM - NO WEAPON,BANK,False,2020,41.799461412,-87.596206318
274186,12243143,12/11/2020 01:44:00 PM,015XX E 53RD ST,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",SIDEWALK,False,2020,41.799551883,-87.58811115
302694,11862039,10/15/2019 08:45:00 PM,052XX S LAKE PARK AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,2019,41.800455673,-87.587407515
302824,11855808,10/02/2019 06:30:00 PM,052XX S DREXEL AVE,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,False,2019,41.799908625,-87.60392862
318365,10821424,01/13/2017 07:16:00 PM,054XX S CORNELL AVE,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,2017,41.797144376,-87.585458215
318672,10821917,01/19/2017 11:20:00 PM,054XX S SHORE DR,THEFT,OVER $500,STREET,False,2017,41.79631327,-87.580898427
319370,10823001,01/20/2017 04:00:00 PM,054XX S LAKE PARK AVE,BATTERY,DOMESTIC BATTERY SIMPLE,CONVENIENCE STORE,False,2017,41.797038232,-87.587282115
319455,10823117,01/16/2017 08:00:00 AM,053XX S HARPER AVE,THEFT,$500 AND UNDER,HOTEL/MOTEL,False,2017,41.799058715,-87.589081404
319597,10823284,01/20/2017 11:30:00 PM,015XX E 53RD ST,THEFT,FROM BUILDING,RESTAURANT,False,2017,41.799547456,-87.588697998
319634,10823330,01/19/2017 12:40:00 PM,012XX E 53RD ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,False,2017,41.799461412,-87.596206318
319889,10823666,01/21/2017 06:42:00 PM,051XX S HYDE PARK BLVD,ROBBERY,AGGRAVATED,PARK PROPERTY,False,2017,41.801470267,-87.584755083
319903,10823686,01/18/2017 11:30:00 AM,052XX S ELLIS AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,2017,41.800795006,-87.60133661
319920,10823703,01/20/2017 10:00:00 PM,056XX S STONY ISLAND AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2017,41.792755885,-87.586664366
320379,10824281,01/22/2017 06:40:00 AM,054XX S ELLIS AVE,ROBBERY,AGGRAVATED,STREET,False,2017,41.797572754,-87.601263259
320572,10824533,01/22/2017 06:21:00 PM,051XX S LAKE PARK AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,2017,41.802101704,-87.587747851
320723,10824704,01/22/2017 10:00:00 AM,057XX S STONY ISLAND AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2017,41.790725341,-87.586698933
320734,10824716,01/22/2017 09:05:00 PM,051XX S LAKE SHORE DR SB,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,True,2017,41.802187969,-87.581614573
320840,10824910,01/22/2017 11:00:00 PM,054XX S LAKE SHORE DR SB,THEFT,OVER $500,STREET,False,2017,41.796768195,-87.579547199
