,ID,Date,Block,Primary_Type,Description,Location_Description,Arrest,Year,Latitude,Longitude,dt,Month,Hour,Night,Season
0,12012879,03/18/2020 11:52:00 PM,056XX S MARYLAND AVE,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,2020,41.792195498,-87.604958508,2020-03-18 23:52:00,3,23,Yes,Spring
1,11859822,10/13/2019 05:22:00 PM,013XX E 53RD ST,ASSAULT,SIMPLE,SIDEWALK,False,2019,41.799505075,-87.592329293,2019-10-13 17:22:00,10,17,Yes,Autumn
2,11859795,10/13/2019 07:04:00 PM,015XX E 55TH ST,THEFT,RETAIL THEFT,DRUG STORE,True,2019,41.795190552,-87.588007653,2019-10-13 19:04:00,10,19,Yes,Autumn
3,11863708,10/10/2019 12:00:00 PM,054XX S HYDE PARK BLVD,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,2019,41.797414808,-87.584002797,2019-10-10 12:00:00,10,12,No,Autumn
4,12012539,03/18/2020 11:00:00 AM,058XX S MARYLAND AVE,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,False,2020,41.788699253,-87.604954085,2020-03-18 11:00:00,3,11,No,Spring
5,11860491,10/14/2019 11:00:00 AM,052XX S UNIVERSITY AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,2019,41.80042095,-87.598197793,2019-10-14 11:00:00,10,11,No,Autumn
6,11860984,10/14/2019 03:45:00 PM,052XX S HARPER AVE,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,2019,41.800911368,-87.589122315,2019-10-14 15:45:00,10,15,No,Autumn
7,11861855,10/14/2019 02:30:00 PM,054XX S RIDGEWOOD CT,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,2019,41.796542893,-87.592583455,2019-10-14 14:30:00,10,14,No,Autumn
8,11860863,10/14/2019 07:15:00 PM,011XX E 55TH ST,THEFT,FROM BUILDING,RESTAURANT,False,2019,41.795043446,-87.598827668,2019-10-14 19:15:00,10,19,Yes,Autumn
9,11863108,10/14/2019 10:00:00 AM,051XX S KIMBARK AVE,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,STREET,False,2019,41.801816996,-87.595079037,2019-10-14 10:00:00,10,10,No,Autumn
10,11863347,10/15/2019 02:15:00 PM,009XX E 54TH ST,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,2019,41.797922443,-87.602308153,2019-10-15 14:15:00,10,14,No,Autumn
11,12133193,08/09/2020 01:00:00 PM,053XX S COTTAGE GROVE AVE,THEFT,$500 AND UNDER,APARTMENT,False,2020,41.797936811,-87.606301777,2020-08-09 13:00:00,8,13,No,Summer
12,12013629,03/19/2020 10:00:00 PM,053XX S DORCHESTER AVE,BATTERY,SIMPLE,SIDEWALK,False,2020,41.798977312,-87.591770586,2020-03-19 22:00:00,3,22,Yes,Spring
13,12013946,03/19/2020 06:45:00 PM,012XX E 53RD ST,ROBBERY,STRONG ARM - NO WEAPON,BANK,False,2020,41.799461412,-87.596206318,2020-03-19 18:45:00,3,18,Yes,Spring
14,12243143,12/11/2020 01:44:00 PM,015XX E 53RD ST,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",SIDEWALK,False,2020,41.799551883,-87.58811115,2020-12-11 13:44:00,12,13,No,Winter
15,11862039,10/15/2019 08:45:00 PM,052XX S LAKE PARK AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,2019,41.800455673,-87.587407515,2019-10-15 20:45:00,10,20,Yes,Autumn
